DATE,DCOILWTICO_PCH,DGS10_PCH
1962-01-03,.,-0.73892
1962-01-04,.,-0.99256
1962-01-05,.,0.75188
1962-01-08,.,0.24876
1962-01-09,.,0.49628
1962-01-10,.,0.49383
1962-01-11,.,0.24570
1962-01-12,.,0.00000
1962-01-15,.,0.49020
1962-01-16,.,0.73171
1962-01-17,.,-0.24213
1962-01-18,.,-0.24272
1962-01-19,.,0.00000
1962-01-22,.,-0.48662
1962-01-23,.,0.48900
1962-01-24,.,-0.24331
1962-01-25,.,0.24390
1962-01-26,.,0.00000
1962-01-29,.,0.24331
1962-01-30,.,-0.24272
1962-01-31,.,-0.24331
1962-02-01,.,-0.24390
1962-02-02,.,-0.24450
1962-02-05,.,-0.24510
1962-02-06,.,-0.24570
1962-02-07,.,0.24631
1962-02-08,.,0.00000
1962-02-09,.,-0.49140
1962-02-12,.,.
1962-02-13,.,.
1962-02-14,.,0.00000
1962-02-15,.,-0.24814
1962-02-16,.,0.00000
1962-02-19,.,-0.24876
1962-02-20,.,0.99751
1962-02-21,.,-0.49383
1962-02-22,.,.
1962-02-23,.,.
1962-02-26,.,-0.49751
1962-02-27,.,0.25000
1962-02-28,.,-0.24938
1962-03-01,.,-0.50000
1962-03-02,.,0.00000
1962-03-05,.,0.50251
1962-03-06,.,0.25000
1962-03-07,.,-0.24938
1962-03-08,.,-0.50000
1962-03-09,.,-0.50251
1962-03-12,.,-0.50505
1962-03-13,.,-0.50761
1962-03-14,.,0.25510
1962-03-15,.,0.76336
1962-03-16,.,0.00000
1962-03-19,.,-0.75758
1962-03-20,.,-0.50891
1962-03-21,.,-1.27877
1962-03-22,.,-0.77720
1962-03-23,.,1.04439
1962-03-26,.,0.51680
1962-03-27,.,0.25707
1962-03-28,.,0.00000
1962-03-29,.,0.00000
1962-03-30,.,-1.02564
1962-04-02,.,0.00000
1962-04-03,.,-0.77720
1962-04-04,.,-1.30548
1962-04-05,.,1.58730
1962-04-06,.,-0.78125
1962-04-09,.,0.52493
1962-04-10,.,0.00000
1962-04-11,.,1.04439
1962-04-12,.,-0.25840
1962-04-13,.,-0.25907
1962-04-16,.,-0.51948
1962-04-17,.,-0.26110
1962-04-18,.,-0.26178
1962-04-19,.,0.26247
1962-04-20,.,.
1962-04-23,.,.
1962-04-24,.,0.25907
1962-04-25,.,0.25840
1962-04-26,.,0.25773
1962-04-27,.,-0.77121
1962-04-30,.,0.00000
1962-05-01,.,-0.25907
1962-05-02,.,0.25974
1962-05-03,.,0.00000
1962-05-04,.,0.25907
1962-05-07,.,-0.25840
1962-05-08,.,-0.25907
1962-05-09,.,-0.77922
1962-05-10,.,0.26178
1962-05-11,.,-0.26110
1962-05-14,.,0.78534
1962-05-15,.,0.51948
1962-05-16,.,-0.25840
1962-05-17,.,0.25907
1962-05-18,.,1.55039
1962-05-21,.,0.25445
1962-05-22,.,-0.25381
1962-05-23,.,-0.50891
1962-05-24,.,-0.25575
1962-05-25,.,-0.51282
1962-05-28,.,-0.25773
1962-05-29,.,0.51680
1962-05-30,.,.
1962-05-31,.,.
1962-06-01,.,-0.25641
1962-06-04,.,-0.25707
1962-06-05,.,0.25773
1962-06-06,.,0.00000
1962-06-07,.,-0.51414
1962-06-08,.,-0.25840
1962-06-11,.,0.25907
1962-06-12,.,-0.25840
1962-06-13,.,0.25907
1962-06-14,.,0.77519
1962-06-15,.,-0.25641
1962-06-18,.,0.51414
1962-06-19,.,0.51151
1962-06-20,.,-0.25445
1962-06-21,.,-0.51020
1962-06-22,.,0.00000
1962-06-25,.,1.28205
1962-06-26,.,0.50633
1962-06-27,.,-0.25189
1962-06-28,.,0.50505
1962-06-29,.,0.50251
1962-07-02,.,0.00000
1962-07-03,.,0.00000
1962-07-04,.,.
1962-07-05,.,.
1962-07-06,.,0.50000
1962-07-09,.,0.74627
1962-07-10,.,-0.74074
1962-07-11,.,-0.74627
1962-07-12,.,0.25063
1962-07-13,.,0.00000
1962-07-16,.,0.25000
1962-07-17,.,0.49875
1962-07-18,.,-0.24814
1962-07-19,.,0.00000
1962-07-20,.,-0.24876
1962-07-23,.,-0.24938
1962-07-24,.,0.25000
1962-07-25,.,0.24938
1962-07-26,.,-0.24876
1962-07-27,.,0.24938
1962-07-30,.,0.24876
1962-07-31,.,0.24814
1962-08-01,.,-0.24752
1962-08-02,.,-0.74442
1962-08-03,.,0.25000
1962-08-06,.,0.00000
1962-08-07,.,0.24938
1962-08-08,.,-0.24876
1962-08-09,.,-0.49875
1962-08-10,.,0.00000
1962-08-13,.,0.00000
1962-08-14,.,-0.25063
1962-08-15,.,0.00000
1962-08-16,.,-0.50251
1962-08-17,.,0.00000
1962-08-20,.,-0.50505
1962-08-21,.,0.00000
1962-08-22,.,0.25381
1962-08-23,.,0.00000
1962-08-24,.,0.00000
1962-08-27,.,0.00000
1962-08-28,.,0.25316
1962-08-29,.,0.00000
1962-08-30,.,-0.25253
1962-08-31,.,0.25316
1962-09-03,.,.
1962-09-04,.,.
1962-09-05,.,0.25253
1962-09-06,.,0.50378
1962-09-07,.,0.50125
1962-09-10,.,-0.24938
1962-09-11,.,0.00000
1962-09-12,.,0.00000
1962-09-13,.,-0.25000
1962-09-14,.,0.00000
1962-09-17,.,0.00000
1962-09-18,.,-0.25063
1962-09-19,.,0.25126
1962-09-20,.,-0.25063
1962-09-21,.,0.00000
1962-09-24,.,-0.25126
1962-09-25,.,-0.25189
1962-09-26,.,-0.25253
1962-09-27,.,0.00000
1962-09-28,.,-0.25316
1962-10-01,.,-0.25381
1962-10-02,.,-0.25445
1962-10-03,.,-0.51020
1962-10-04,.,0.00000
1962-10-05,.,0.51282
1962-10-08,.,0.25510
1962-10-09,.,0.50891
1962-10-10,.,-0.50633
1962-10-11,.,0.25445
1962-10-12,.,.
1962-10-15,.,.
1962-10-16,.,0.00000
1962-10-17,.,0.00000
1962-10-18,.,-0.50761
1962-10-19,.,-1.02041
1962-10-22,.,0.77320
1962-10-23,.,0.76726
1962-10-24,.,0.00000
1962-10-25,.,0.00000
1962-10-26,.,-0.25381
1962-10-29,.,-0.25445
1962-10-30,.,0.00000
1962-10-31,.,0.00000
1962-11-01,.,0.00000
1962-11-02,.,-0.25510
1962-11-05,.,0.00000
1962-11-06,.,.
1962-11-07,.,.
1962-11-08,.,-0.25575
1962-11-09,.,-0.25641
1962-11-12,.,.
1962-11-13,.,.
1962-11-14,.,0.25641
1962-11-15,.,0.00000
1962-11-16,.,0.51151
1962-11-19,.,0.00000
1962-11-20,.,0.00000
1962-11-21,.,-0.25445
1962-11-22,.,.
1962-11-23,.,.
1962-11-26,.,0.25510
1962-11-27,.,-0.25445
1962-11-28,.,0.00000
1962-11-29,.,0.00000
1962-11-30,.,0.00000
1962-12-03,.,0.25510
1962-12-04,.,0.25445
1962-12-05,.,-0.25381
1962-12-06,.,-0.25445
1962-12-07,.,-0.25510
1962-12-10,.,-0.25575
1962-12-11,.,-0.25641
1962-12-12,.,-0.25707
1962-12-13,.,0.00000
1962-12-14,.,-0.25773
1962-12-17,.,-0.51680
1962-12-18,.,-0.51948
1962-12-19,.,0.26110
1962-12-20,.,-0.26042
1962-12-21,.,-0.52219
1962-12-24,.,-0.52493
1962-12-25,.,.
1962-12-26,.,.
1962-12-27,.,0.52770
1962-12-28,.,0.78740
1962-12-31,.,0.26042
1963-01-01,.,.
1963-01-02,.,.
1963-01-03,.,-0.26178
1963-01-04,.,0.78740
1963-01-07,.,-0.26042
1963-01-08,.,-0.52219
1963-01-09,.,0.26247
1963-01-10,.,-0.26178
1963-01-11,.,-0.26247
1963-01-14,.,0.26316
1963-01-15,.,-0.26247
1963-01-16,.,0.00000
1963-01-17,.,0.52632
1963-01-18,.,0.52356
1963-01-21,.,0.26042
1963-01-22,.,0.25974
1963-01-23,.,0.00000
1963-01-24,.,0.00000
1963-01-25,.,-0.25907
1963-01-28,.,0.25974
1963-01-29,.,0.00000
1963-01-30,.,0.00000
1963-01-31,.,0.25907
1963-02-01,.,0.25840
1963-02-04,.,0.25773
1963-02-05,.,0.25707
1963-02-06,.,0.25641
1963-02-07,.,0.00000
1963-02-08,.,0.00000
1963-02-11,.,0.25575
1963-02-12,.,.
1963-02-13,.,.
1963-02-14,.,-0.25510
1963-02-15,.,0.00000
1963-02-18,.,0.00000
1963-02-19,.,0.51151
1963-02-20,.,0.25445
1963-02-21,.,0.25381
1963-02-22,.,.
1963-02-25,.,.
1963-02-26,.,0.00000
1963-02-27,.,0.00000
1963-02-28,.,-0.25316
1963-03-01,.,-0.25381
1963-03-04,.,-0.25445
1963-03-05,.,0.00000
1963-03-06,.,-0.25510
1963-03-07,.,0.25575
1963-03-08,.,0.00000
1963-03-11,.,0.00000
1963-03-12,.,0.00000
1963-03-13,.,0.00000
1963-03-14,.,0.00000
1963-03-15,.,0.00000
1963-03-18,.,0.00000
1963-03-19,.,0.00000
1963-03-20,.,0.00000
1963-03-21,.,0.00000
1963-03-22,.,0.25510
1963-03-25,.,0.25445
1963-03-26,.,0.50761
1963-03-27,.,0.00000
1963-03-28,.,0.00000
1963-03-29,.,-0.25253
1963-04-01,.,0.00000
1963-04-02,.,0.25316
1963-04-03,.,0.00000
1963-04-04,.,-0.25253
1963-04-05,.,0.00000
1963-04-08,.,0.50633
1963-04-09,.,0.25189
1963-04-10,.,0.50251
1963-04-11,.,0.00000
1963-04-12,.,.
1963-04-15,.,.
1963-04-16,.,-0.24938
1963-04-17,.,0.00000
1963-04-18,.,-0.25000
1963-04-19,.,-0.50125
1963-04-22,.,0.00000
1963-04-23,.,0.00000
1963-04-24,.,-0.25189
1963-04-25,.,-0.25253
1963-04-26,.,0.00000
1963-04-29,.,0.00000
1963-04-30,.,0.00000
1963-05-01,.,-0.25316
1963-05-02,.,0.00000
1963-05-03,.,-0.25381
1963-05-06,.,-0.25445
1963-05-07,.,-0.25510
1963-05-08,.,0.25575
1963-05-09,.,0.25510
1963-05-10,.,0.00000
1963-05-13,.,-0.25445
1963-05-14,.,-0.25510
1963-05-15,.,0.00000
1963-05-16,.,-0.25575
1963-05-17,.,0.51282
1963-05-20,.,0.25510
1963-05-21,.,-0.25445
1963-05-22,.,0.00000
1963-05-23,.,0.25510
1963-05-24,.,0.50891
1963-05-27,.,0.00000
1963-05-28,.,0.25316
1963-05-29,.,0.00000
1963-05-30,.,.
1963-05-31,.,.
1963-06-03,.,0.50505
1963-06-04,.,0.00000
1963-06-05,.,0.00000
1963-06-06,.,0.25126
1963-06-07,.,0.00000
1963-06-10,.,0.00000
1963-06-11,.,-0.25063
1963-06-12,.,0.25126
1963-06-13,.,0.00000
1963-06-14,.,0.00000
1963-06-17,.,0.25063
1963-06-18,.,0.00000
1963-06-19,.,0.00000
1963-06-20,.,0.00000
1963-06-21,.,0.00000
1963-06-24,.,0.00000
1963-06-25,.,0.00000
1963-06-26,.,0.00000
1963-06-27,.,0.00000
1963-06-28,.,0.00000
1963-07-01,.,0.25000
1963-07-02,.,0.49875
1963-07-03,.,0.00000
1963-07-04,.,.
1963-07-05,.,.
1963-07-08,.,0.24752
1963-07-09,.,-0.24691
1963-07-10,.,-0.24752
1963-07-11,.,0.24814
1963-07-12,.,-0.24752
1963-07-15,.,-0.24814
1963-07-16,.,0.00000
1963-07-17,.,0.24876
1963-07-18,.,-0.24814
1963-07-19,.,0.00000
1963-07-22,.,0.00000
1963-07-23,.,0.00000
1963-07-24,.,-0.24876
1963-07-25,.,0.00000
1963-07-26,.,-0.49875
1963-07-29,.,0.00000
1963-07-30,.,0.25063
1963-07-31,.,0.00000
1963-08-01,.,-0.25000
1963-08-02,.,0.00000
1963-08-05,.,0.00000
1963-08-06,.,0.25063
1963-08-07,.,0.25000
1963-08-08,.,-0.24938
1963-08-09,.,0.00000
1963-08-12,.,0.25000
1963-08-13,.,0.24938
1963-08-14,.,0.00000
1963-08-15,.,-0.24876
1963-08-16,.,-0.24938
1963-08-19,.,-0.25000
1963-08-20,.,0.00000
1963-08-21,.,0.25063
1963-08-22,.,0.00000
1963-08-23,.,0.00000
1963-08-26,.,0.00000
1963-08-27,.,0.00000
1963-08-28,.,0.00000
1963-08-29,.,0.25000
1963-08-30,.,0.24938
1963-09-02,.,.
1963-09-03,.,.
1963-09-04,.,0.24814
1963-09-05,.,0.99010
1963-09-06,.,0.24510
1963-09-09,.,0.00000
1963-09-10,.,0.00000
1963-09-11,.,0.00000
1963-09-12,.,0.00000
1963-09-13,.,0.00000
1963-09-16,.,0.00000
1963-09-17,.,0.00000
1963-09-18,.,-0.24450
1963-09-19,.,0.00000
1963-09-20,.,-0.24510
1963-09-23,.,0.00000
1963-09-24,.,0.24570
1963-09-25,.,0.00000
1963-09-26,.,0.00000
1963-09-27,.,-0.24510
1963-09-30,.,0.00000
1963-10-01,.,0.00000
1963-10-02,.,0.00000
1963-10-03,.,0.00000
1963-10-04,.,0.24570
1963-10-07,.,0.00000
1963-10-08,.,0.24510
1963-10-09,.,0.24450
1963-10-10,.,0.00000
1963-10-11,.,0.00000
1963-10-14,.,0.00000
1963-10-15,.,0.24390
1963-10-16,.,0.00000
1963-10-17,.,0.24331
1963-10-18,.,0.00000
1963-10-21,.,0.00000
1963-10-22,.,-0.24272
1963-10-23,.,0.24331
1963-10-24,.,-0.24272
1963-10-25,.,0.24331
1963-10-28,.,0.00000
1963-10-29,.,0.24272
1963-10-30,.,0.24213
1963-10-31,.,0.24155
1963-11-01,.,0.00000
1963-11-04,.,0.00000
1963-11-05,.,.
1963-11-06,.,.
1963-11-07,.,0.00000
1963-11-08,.,-0.23981
1963-11-11,.,.
1963-11-12,.,.
1963-11-13,.,-0.24038
1963-11-14,.,-0.72289
1963-11-15,.,-0.24272
1963-11-18,.,0.00000
1963-11-19,.,-0.24331
1963-11-20,.,-0.24390
1963-11-21,.,0.24450
1963-11-22,.,-0.24390
1963-11-25,.,.
1963-11-26,.,.
1963-11-27,.,0.00000
1963-11-28,.,.
1963-11-29,.,.
1963-12-02,.,0.24510
1963-12-03,.,0.24450
1963-12-04,.,0.00000
1963-12-05,.,0.24390
1963-12-06,.,0.00000
1963-12-09,.,-0.24331
1963-12-10,.,0.00000
1963-12-11,.,0.48780
1963-12-12,.,0.00000
1963-12-13,.,0.24272
1963-12-16,.,0.48426
1963-12-17,.,0.00000
1963-12-18,.,0.00000
1963-12-19,.,-0.24096
1963-12-20,.,0.24155
1963-12-23,.,0.00000
1963-12-24,.,0.00000
1963-12-25,.,.
1963-12-26,.,.
1963-12-27,.,0.00000
1963-12-30,.,-0.24096
1963-12-31,.,0.00000
1964-01-01,.,.
1964-01-02,.,.
1964-01-03,.,0.24155
1964-01-06,.,0.24096
1964-01-07,.,-0.24038
1964-01-08,.,0.72289
1964-01-09,.,0.00000
1964-01-10,.,0.00000
1964-01-13,.,0.00000
1964-01-14,.,0.00000
1964-01-15,.,0.00000
1964-01-16,.,-0.23923
1964-01-17,.,0.00000
1964-01-20,.,-0.23981
1964-01-21,.,0.00000
1964-01-22,.,0.00000
1964-01-23,.,0.00000
1964-01-24,.,0.48077
1964-01-27,.,0.00000
1964-01-28,.,-0.23923
1964-01-29,.,0.00000
1964-01-30,.,-0.23981
1964-01-31,.,-0.24038
1964-02-03,.,0.00000
1964-02-04,.,0.00000
1964-02-05,.,0.00000
1964-02-06,.,-0.24096
1964-02-07,.,0.00000
1964-02-10,.,0.00000
1964-02-11,.,0.00000
1964-02-12,.,.
1964-02-13,.,.
1964-02-14,.,0.00000
1964-02-17,.,0.00000
