DATE,GDP_PCH,CORESTICKM159SFRBATL_PCH
1947-04-01,1.15313,.
1947-07-01,1.47052,.
1947-10-01,4.07076,.
1948-01-01,2.30880,.
1948-04-01,2.56828,.
1948-07-01,2.43206,.
1948-10-01,0.41906,.
1949-01-01,-1.90180,.
1949-04-01,-1.33911,.
1949-07-01,0.56679,.
1949-10-01,-0.82891,.
1950-01-01,3.76939,.
1950-04-01,3.40244,.
1950-07-01,6.11950,.
1950-10-01,3.82667,.
1951-01-01,5.01805,.
1951-04-01,2.40774,.
1951-07-01,2.12008,.
1951-10-01,1.36403,.
1952-01-01,1.02252,.
1952-04-01,0.33628,.
1952-07-01,1.84777,.
1952-10-01,3.56567,.
1953-01-01,1.88229,.
1953-04-01,0.97144,.
1953-07-01,-0.14754,.
1953-10-01,-1.32960,.
1954-01-01,-0.16193,.
1954-04-01,0.20138,.
1954-07-01,1.26256,.
1954-10-01,2.23481,.
1955-01-01,3.33697,.
1955-04-01,2.04782,.
1955-07-01,2.06129,.
1955-10-01,1.59709,.
1956-01-01,0.60719,.
1956-04-01,1.42446,.
1956-07-01,1.16163,.
1956-10-01,2.05501,.
1957-01-01,2.02318,.
1957-04-01,0.47810,.
1957-07-01,1.58148,.
1957-10-01,-0.96478,.
1958-01-01,-1.54234,.
1958-04-01,0.94922,.
1958-07-01,2.93721,.
1958-10-01,2.82273,.
1959-01-01,2.15692,.
1959-04-01,2.41471,.
1959-07-01,0.45556,.
1959-10-01,0.67919,.
1960-01-01,2.65759,.
1960-04-01,-0.28895,.
1960-07-01,0.83611,.
1960-10-01,-0.99101,.
1961-01-01,0.89245,.
1961-04-01,1.93150,.
1961-07-01,2.18146,.
1961-10-01,2.28093,.
1962-01-01,2.30808,.
1962-04-01,1.06951,.
1962-07-01,1.44262,.
1962-10-01,0.53413,.
1963-01-01,1.53394,.
1963-04-01,1.29972,.
1963-07-01,2.33298,.
1963-10-01,1.47321,.
1964-01-01,2.42898,.
1964-04-01,1.32155,.
1964-07-01,1.96810,.
1964-10-01,0.76413,.
1965-01-01,2.93567,.
1965-04-01,1.72766,.
1965-07-01,2.62014,.
1965-10-01,3.00725,.
1966-01-01,3.09345,.
1966-04-01,1.16207,.
1966-07-01,1.82079,.
1966-10-01,1.66708,.
1967-01-01,1.30421,.
1967-04-01,0.57015,.
1967-07-01,1.91405,.
1967-10-01,1.87302,.
1968-01-01,3.17072,.
1968-04-01,2.74438,11.54602
1968-07-01,1.76391,14.56763
1968-10-01,1.80948,11.23172
1969-01-01,2.61428,8.20246
1969-04-01,1.57882,11.52600
1969-07-01,2.07488,-0.15092
1969-10-01,0.79528,-1.19169
1970-01-01,1.25734,6.67672
1970-04-01,1.53872,1.36055
1970-07-01,1.75046,1.37982
1970-10-01,0.23470,2.49578
1971-01-01,4.27592,-13.35330
1971-04-01,1.86010,-17.06121
1971-07-01,1.85112,-5.41713
1971-10-01,1.07177,-18.55977
1972-01-01,3.38672,-3.29618
1972-04-01,2.90588,-2.76260
1972-07-01,1.91074,-12.09301
1972-10-01,2.97063,-2.21045
1973-01-01,3.65610,-11.35864
1973-04-01,2.64227,7.53449
1973-07-01,1.41107,10.49945
1973-10-01,2.96066,45.95883
1974-01-01,1.01064,26.33149
1974-04-01,2.60507,23.78517
1974-07-01,1.95875,28.89972
1974-10-01,2.54182,9.34217
1975-01-01,1.02752,5.85739
1975-04-01,2.21129,-5.53352
1975-07-01,3.50921,-17.67019
1975-10-01,3.04190,-12.00518
1976-01-01,3.32926,-6.04033
1976-04-01,1.74926,-7.60244
1976-07-01,1.84772,3.98725
1976-10-01,2.52921,-8.80598
1977-01-01,2.81113,-7.71839
1977-04-01,3.38225,11.16207
1977-07-01,3.04313,1.70326
1977-10-01,2.16179,3.59636
1978-01-01,1.77843,4.01889
1978-04-01,5.85052,2.66155
1978-07-01,2.71998,8.49837
1978-10-01,3.41938,10.59549
1979-01-01,2.00493,3.61163
1979-04-01,2.55825,6.90143
1979-07-01,2.94522,7.12908
1979-10-01,2.11121,10.82252
1980-01-01,2.42151,15.26759
1980-04-01,0.26919,10.25878
1980-07-01,2.11382,-11.18227
1980-10-01,4.51863,-4.54189
1981-01-01,4.64399,-13.10457
1981-04-01,1.22674,-14.99289
1981-07-01,3.10122,23.53074
1981-10-01,0.61979,-10.31930
1982-01-01,-0.19861,-11.81680
1982-04-01,1.76129,-3.14675
1982-07-01,1.03092,-21.54217
1982-10-01,1.07652,-25.48367
1983-01-01,2.08231,-10.52812
1983-04-01,3.03549,-23.47762
1983-07-01,3.08286,-25.08813
1983-10-01,2.86045,39.15308
1984-01-01,2.98700,20.81147
1984-04-01,2.59840,3.49368
1984-07-01,1.86176,6.56749
1984-10-01,1.57436,0.36587
1985-01-01,1.96736,-3.73733
1985-04-01,1.52994,1.97324
1985-07-01,2.13943,-1.12382
1985-10-01,1.30668,2.66838
1986-01-01,1.43561,3.84195
1986-04-01,0.83068,-1.26556
1986-07-01,1.37127,-4.38183
1986-10-01,1.08424,-4.34763
1987-01-01,1.38545,-6.70417
1987-04-01,1.77893,-1.79071
1987-07-01,1.63114,-1.63675
1987-10-01,2.52713,1.74190
1988-01-01,1.30547,2.02015
1988-04-01,2.29954,2.24617
1988-07-01,1.78802,4.50998
1988-10-01,2.20855,0.26928
1989-01-01,2.06952,1.00715
1989-04-01,1.83642,-1.23868
1989-07-01,1.47711,2.28482
1989-10-01,0.91078,0.11167
1990-01-01,2.18303,4.10095
1990-04-01,1.48700,5.32053
1990-07-01,0.92429,9.28564
1990-10-01,-0.17262,-0.84325
1991-01-01,0.50702,0.14818
1991-04-01,1.51916,-9.91969
1991-07-01,1.29063,-12.22112
1991-10-01,0.94431,-4.17213
1992-01-01,1.57333,-8.49671
1992-04-01,1.69196,-0.39674
1992-07-01,1.48171,-9.23356
1992-10-01,1.73851,0.07988
1993-01-01,0.72830,-2.96892
1993-04-01,1.18108,0.72371
1993-07-01,1.07446,0.55685
1993-10-01,1.91279,-1.69138
1994-01-01,1.45306,-0.46386
1994-04-01,1.84493,-5.56565
1994-07-01,1.16110,0.22477
1994-10-01,1.69434,-6.05452
1995-01-01,0.89870,2.67819
