DATE,CPIAUCSL_PCH,UNRATE_PCH,FEDFUNDS
1947-02-01,0.65177,.,.
1947-03-01,1.75763,.,.
1947-04-01,0.00000,.,.
1947-05-01,-0.22727,.,.
1947-06-01,0.59226,.,.
1947-07-01,0.67935,.,.
1947-08-01,0.76473,.,.
1947-09-01,1.96429,.,.
1947-10-01,0.30648,.,.
1947-11-01,0.65474,.,.
1947-12-01,1.51778,.,.
1948-01-01,1.15335,.,.
1948-02-01,-0.04223,11.76471,.
1948-03-01,-0.71821,5.26316,.
1948-04-01,1.36170,-2.50000,.
1948-05-01,0.79765,-10.25641,.
1948-06-01,0.58309,2.85714,.
1948-07-01,1.03520,0.00000,.
1948-08-01,0.12295,8.33333,.
1948-09-01,-0.28653,-2.56410,.
1948-10-01,-0.20525,-2.63158,.
1948-11-01,-0.61703,2.70270,.
1948-12-01,-0.45530,5.26316,.
1949-01-01,-0.16632,7.50000,.
1949-02-01,-0.41649,9.30233,.
1949-03-01,0.00000,6.38298,.
1949-04-01,0.04182,6.00000,.
1949-05-01,-0.04181,15.09434,.
1949-06-01,0.04182,1.63934,.
1949-07-01,-0.91973,8.06452,.
1949-08-01,0.00000,1.49254,.
1949-09-01,0.21097,-2.94118,.
1949-10-01,-0.33684,19.69697,.
1949-11-01,0.12674,-18.98734,.
1949-12-01,-0.37975,3.12500,.
1950-01-01,-0.42355,-1.51515,.
1950-02-01,0.42535,-1.53846,.
1950-03-01,0.12706,-1.56250,.
1950-04-01,0.04230,-7.93651,.
1950-05-01,0.50740,-5.17241,.
1950-06-01,0.46277,-1.81818,.
1950-07-01,0.79564,-7.40741,.
1950-08-01,0.54009,-10.00000,.
1950-09-01,0.57851,-2.22222,.
1950-10-01,0.65735,-4.54545,.
1950-11-01,0.40816,0.00000,.
1950-12-01,1.54472,2.38095,.
1951-01-01,1.60128,-13.95349,.
1951-02-01,1.77305,-8.10811,.
1951-03-01,0.19357,0.00000,.
1951-04-01,0.15456,-8.82353,.
1951-05-01,0.27006,-3.22581,.
1951-06-01,-0.23086,6.66667,.
1951-07-01,-0.07713,-3.12500,.
1951-08-01,-0.19298,0.00000,.
1951-09-01,0.65739,6.45161,.
1951-10-01,0.49942,6.06061,.
1951-11-01,0.61162,0.00000,.
1951-12-01,0.56991,-11.42857,.
1952-01-01,-0.07556,3.22581,.
1952-02-01,-0.15123,-3.12500,.
1952-03-01,-0.07573,-6.45161,.
1952-04-01,0.26525,0.00000,.
1952-05-01,0.03779,3.44828,.
1952-06-01,0.22667,0.00000,.
