DATE,UNRATE,FEDFUNDS,GS10
1948-01-01,3.4,.,.
1948-02-01,3.8,.,.
1948-03-01,4.0,.,.
1948-04-01,3.9,.,.
1948-05-01,3.5,.,.
1948-06-01,3.6,.,.
1948-07-01,3.6,.,.
1948-08-01,3.9,.,.
1948-09-01,3.8,.,.
1948-10-01,3.7,.,.
1948-11-01,3.8,.,.
1948-12-01,4.0,.,.
1949-01-01,4.3,.,.
1949-02-01,4.7,.,.
1949-03-01,5.0,.,.
1949-04-01,5.3,.,.
1949-05-01,6.1,.,.
1949-06-01,6.2,.,.
1949-07-01,6.7,.,.
1949-08-01,6.8,.,.
1949-09-01,6.6,.,.
1949-10-01,7.9,.,.
1949-11-01,6.4,.,.
1949-12-01,6.6,.,.
1950-01-01,6.5,.,.
1950-02-01,6.4,.,.
1950-03-01,6.3,.,.
1950-04-01,5.8,.,.
1950-05-01,5.5,.,.
1950-06-01,5.4,.,.
1950-07-01,5.0,.,.
1950-08-01,4.5,.,.
1950-09-01,4.4,.,.
1950-10-01,4.2,.,.
1950-11-01,4.2,.,.
1950-12-01,4.3,.,.
1951-01-01,3.7,.,.
1951-02-01,3.4,.,.
1951-03-01,3.4,.,.
1951-04-01,3.1,.,.
1951-05-01,3.0,.,.
1951-06-01,3.2,.,.
1951-07-01,3.1,.,.
1951-08-01,3.1,.,.
1951-09-01,3.3,.,.
1951-10-01,3.5,.,.
1951-11-01,3.5,.,.
1951-12-01,3.1,.,.
1952-01-01,3.2,.,.
1952-02-01,3.1,.,.
1952-03-01,2.9,.,.
1952-04-01,2.9,.,.
1952-05-01,3.0,.,.
1952-06-01,3.0,.,.
1952-07-01,3.2,.,.
1952-08-01,3.4,.,.
1952-09-01,3.1,.,.
1952-10-01,3.0,.,.
1952-11-01,2.8,.,.
1952-12-01,2.7,.,.
1953-01-01,2.9,.,.
1953-02-01,2.6,.,.
1953-03-01,2.6,.,.
1953-04-01,2.7,.,2.83
1953-05-01,2.5,.,3.05
1953-06-01,2.5,.,3.11
1953-07-01,2.6,.,2.93
1953-08-01,2.7,.,2.95
1953-09-01,2.9,.,2.87
1953-10-01,3.1,.,2.66
1953-11-01,3.5,.,2.68
1953-12-01,4.5,.,2.59
1954-01-01,4.9,.,2.48
1954-02-01,5.2,.,2.47
1954-03-01,5.7,.,2.37
1954-04-01,5.9,.,2.29
1954-05-01,5.9,.,2.37
1954-06-01,5.6,.,2.38
1954-07-01,5.8,0.80,2.30
1954-08-01,6.0,1.22,2.36
1954-09-01,6.1,1.07,2.38
1954-10-01,5.7,0.85,2.43
1954-11-01,5.3,0.83,2.48
1954-12-01,5.0,1.28,2.51
1955-01-01,4.9,1.39,2.61
1955-02-01,4.7,1.29,2.65
1955-03-01,4.6,1.35,2.68
1955-04-01,4.7,1.43,2.75
1955-05-01,4.3,1.43,2.76
1955-06-01,4.2,1.64,2.78
1955-07-01,4.0,1.68,2.90
1955-08-01,4.2,1.96,2.97
1955-09-01,4.1,2.18,2.97
1955-10-01,4.3,2.24,2.88
1955-11-01,4.2,2.35,2.89
1955-12-01,4.2,2.48,2.96
1956-01-01,4.0,2.45,2.90
1956-02-01,3.9,2.50,2.84
1956-03-01,4.2,2.50,2.96
1956-04-01,4.0,2.62,3.18
1956-05-01,4.3,2.75,3.07
1956-06-01,4.3,2.71,3.00
1956-07-01,4.4,2.75,3.11
1956-08-01,4.1,2.73,3.33
1956-09-01,3.9,2.95,3.38
1956-10-01,3.9,2.96,3.34
1956-11-01,4.3,2.88,3.49
1956-12-01,4.2,2.94,3.59
1957-01-01,4.2,2.84,3.46
1957-02-01,3.9,3.00,3.34
1957-03-01,3.7,2.96,3.41
1957-04-01,3.9,3.00,3.48
1957-05-01,4.1,3.00,3.60
1957-06-01,4.3,3.00,3.80
1957-07-01,4.2,2.99,3.93
1957-08-01,4.1,3.24,3.93
1957-09-01,4.4,3.47,3.92
1957-10-01,4.5,3.50,3.97
1957-11-01,5.1,3.28,3.72
1957-12-01,5.2,2.98,3.21
1958-01-01,5.8,2.72,3.09
1958-02-01,6.4,1.67,3.05
1958-03-01,6.7,1.20,2.98
1958-04-01,7.4,1.26,2.88
1958-05-01,7.4,0.63,2.92
1958-06-01,7.3,0.93,2.97
1958-07-01,7.5,0.68,3.20
1958-08-01,7.4,1.53,3.54
1958-09-01,7.1,1.76,3.76
1958-10-01,6.7,1.80,3.80
1958-11-01,6.2,2.27,3.74
1958-12-01,6.2,2.42,3.86
1959-01-01,6.0,2.48,4.02
1959-02-01,5.9,2.43,3.96
1959-03-01,5.6,2.80,3.99
1959-04-01,5.2,2.96,4.12
1959-05-01,5.1,2.90,4.31
1959-06-01,5.0,3.39,4.34
1959-07-01,5.1,3.47,4.40
1959-08-01,5.2,3.50,4.43
1959-09-01,5.5,3.76,4.68
1959-10-01,5.7,3.98,4.53
1959-11-01,5.8,4.00,4.53
1959-12-01,5.3,3.99,4.69
1960-01-01,5.2,3.99,4.72
1960-02-01,4.8,3.97,4.49
1960-03-01,5.4,3.84,4.25
1960-04-01,5.2,3.92,4.28
1960-05-01,5.1,3.85,4.35
1960-06-01,5.4,3.32,4.15
1960-07-01,5.5,3.23,3.90
1960-08-01,5.6,2.98,3.80
1960-09-01,5.5,2.60,3.80
1960-10-01,6.1,2.47,3.89
1960-11-01,6.1,2.44,3.93
1960-12-01,6.6,1.98,3.84
1961-01-01,6.6,1.45,3.84
1961-02-01,6.9,2.54,3.78
1961-03-01,6.9,2.02,3.74
1961-04-01,7.0,1.49,3.78
1961-05-01,7.1,1.98,3.71
1961-06-01,6.9,1.73,3.88
1961-07-01,7.0,1.17,3.92
1961-08-01,6.6,2.00,4.04
1961-09-01,6.7,1.88,3.98
1961-10-01,6.5,2.26,3.92
1961-11-01,6.1,2.61,3.94
1961-12-01,6.0,2.33,4.06
1962-01-01,5.8,2.15,4.08
1962-02-01,5.5,2.37,4.04
1962-03-01,5.6,2.85,3.93
1962-04-01,5.6,2.78,3.84
1962-05-01,5.5,2.36,3.87
1962-06-01,5.5,2.68,3.91
1962-07-01,5.4,2.71,4.01
1962-08-01,5.7,2.93,3.98
1962-09-01,5.6,2.90,3.98
1962-10-01,5.4,2.90,3.93
1962-11-01,5.7,2.94,3.92
1962-12-01,5.5,2.93,3.86
1963-01-01,5.7,2.92,3.83
1963-02-01,5.9,3.00,3.92
1963-03-01,5.7,2.98,3.93
1963-04-01,5.7,2.90,3.97
1963-05-01,5.9,3.00,3.93
1963-06-01,5.6,2.99,3.99
1963-07-01,5.6,3.02,4.02
1963-08-01,5.4,3.49,4.00
1963-09-01,5.5,3.48,4.08
1963-10-01,5.5,3.50,4.11
1963-11-01,5.7,3.48,4.12
1963-12-01,5.5,3.38,4.13
1964-01-01,5.6,3.48,4.17
1964-02-01,5.4,3.48,4.15
1964-03-01,5.4,3.43,4.22
1964-04-01,5.3,3.47,4.23
1964-05-01,5.1,3.50,4.20
1964-06-01,5.2,3.50,4.17
1964-07-01,4.9,3.42,4.19
1964-08-01,5.0,3.50,4.19
1964-09-01,5.1,3.45,4.20
1964-10-01,5.1,3.36,4.19
1964-11-01,4.8,3.52,4.15
1964-12-01,5.0,3.85,4.18
1965-01-01,4.9,3.90,4.19
1965-02-01,5.1,3.98,4.21
1965-03-01,4.7,4.05,4.21
1965-04-01,4.8,4.09,4.20
1965-05-01,4.6,4.10,4.21
1965-06-01,4.6,4.05,4.21
1965-07-01,4.4,4.09,4.20
1965-08-01,4.4,4.12,4.25
1965-09-01,4.3,4.02,4.29
1965-10-01,4.2,4.08,4.35
1965-11-01,4.1,4.10,4.45
1965-12-01,4.0,4.32,4.62
1966-01-01,4.0,4.42,4.61
1966-02-01,3.8,4.60,4.83
1966-03-01,3.8,4.66,4.87
1966-04-01,3.8,4.67,4.75
1966-05-01,3.9,4.90,4.78
1966-06-01,3.8,5.17,4.81
1966-07-01,3.8,5.30,5.02
1966-08-01,3.8,5.53,5.22
1966-09-01,3.7,5.40,5.18
1966-10-01,3.7,5.53,5.01
1966-11-01,3.6,5.76,5.16
1966-12-01,3.8,5.40,4.84
1967-01-01,3.9,4.94,4.58
1967-02-01,3.8,5.00,4.63
1967-03-01,3.8,4.53,4.54
1967-04-01,3.8,4.05,4.59
1967-05-01,3.8,3.94,4.85
1967-06-01,3.9,3.98,5.02
1967-07-01,3.8,3.79,5.16
1967-08-01,3.8,3.90,5.28
1967-09-01,3.8,3.99,5.30
1967-10-01,4.0,3.88,5.48
1967-11-01,3.9,4.13,5.75
1967-12-01,3.8,4.51,5.70
1968-01-01,3.7,4.61,5.53
1968-02-01,3.8,4.71,5.56
1968-03-01,3.7,5.05,5.74
1968-04-01,3.5,5.76,5.64
1968-05-01,3.5,6.12,5.87
1968-06-01,3.7,6.07,5.72
1968-07-01,3.7,6.03,5.50
1968-08-01,3.5,6.03,5.42
1968-09-01,3.4,5.78,5.46
1968-10-01,3.4,5.91,5.58
1968-11-01,3.4,5.82,5.70
1968-12-01,3.4,6.02,6.03
1969-01-01,3.4,6.30,6.04
1969-02-01,3.4,6.61,6.19
1969-03-01,3.4,6.79,6.30
1969-04-01,3.4,7.41,6.17
1969-05-01,3.4,8.67,6.32
1969-06-01,3.5,8.90,6.57
1969-07-01,3.5,8.61,6.72
1969-08-01,3.5,9.19,6.69
1969-09-01,3.7,9.15,7.16
1969-10-01,3.7,9.00,7.10
1969-11-01,3.5,8.85,7.14
1969-12-01,3.5,8.97,7.65
1970-01-01,3.9,8.98,7.79
1970-02-01,4.2,8.98,7.24
1970-03-01,4.4,7.76,7.07
1970-04-01,4.6,8.10,7.39
1970-05-01,4.8,7.95,7.91
1970-06-01,4.9,7.61,7.84
1970-07-01,5.0,7.21,7.46
1970-08-01,5.1,6.62,7.53
1970-09-01,5.4,6.29,7.39
1970-10-01,5.5,6.20,7.33
1970-11-01,5.9,5.60,6.84
1970-12-01,6.1,4.90,6.39
1971-01-01,5.9,4.14,6.24
1971-02-01,5.9,3.72,6.11
1971-03-01,6.0,3.71,5.70
1971-04-01,5.9,4.16,5.83
1971-05-01,5.9,4.63,6.39
1971-06-01,5.9,4.91,6.52
1971-07-01,6.0,5.31,6.73
1971-08-01,6.1,5.57,6.58
1971-09-01,6.0,5.55,6.14
1971-10-01,5.8,5.20,5.93
1971-11-01,6.0,4.91,5.81
1971-12-01,6.0,4.14,5.93
1972-01-01,5.8,3.51,5.95
1972-02-01,5.7,3.30,6.08
1972-03-01,5.8,3.83,6.07
1972-04-01,5.7,4.17,6.19
1972-05-01,5.7,4.27,6.13
1972-06-01,5.7,4.46,6.11
1972-07-01,5.6,4.55,6.11
1972-08-01,5.6,4.81,6.21
1972-09-01,5.5,4.87,6.55
1972-10-01,5.6,5.05,6.48
1972-11-01,5.3,5.06,6.28
1972-12-01,5.2,5.33,6.36
1973-01-01,4.9,5.94,6.46
1973-02-01,5.0,6.58,6.64
1973-03-01,4.9,7.09,6.71
1973-04-01,5.0,7.12,6.67
1973-05-01,4.9,7.84,6.85
1973-06-01,4.9,8.49,6.90
1973-07-01,4.8,10.40,7.13
1973-08-01,4.8,10.50,7.40
1973-09-01,4.8,10.78,7.09
1973-10-01,4.6,10.01,6.79
1973-11-01,4.8,10.03,6.73
1973-12-01,4.9,9.95,6.74
1974-01-01,5.1,9.65,6.99
1974-02-01,5.2,8.97,6.96
1974-03-01,5.1,9.35,7.21
1974-04-01,5.1,10.51,7.51
1974-05-01,5.1,11.31,7.58
1974-06-01,5.4,11.93,7.54
1974-07-01,5.5,12.92,7.81
1974-08-01,5.5,12.01,8.04
1974-09-01,5.9,11.34,8.04
1974-10-01,6.0,10.06,7.90
1974-11-01,6.6,9.45,7.68
1974-12-01,7.2,8.53,7.43
