DATE,UNRATE,FEDFUNDS,DGS10
1948-01-01,3.4,.,.
1948-02-01,3.8,.,.
1948-03-01,4.0,.,.
1948-04-01,3.9,.,.
1948-05-01,3.5,.,.
1948-06-01,3.6,.,.
1948-07-01,3.6,.,.
1948-08-01,3.9,.,.
1948-09-01,3.8,.,.
1948-10-01,3.7,.,.
1948-11-01,3.8,.,.
1948-12-01,4.0,.,.
1949-01-01,4.3,.,.
1949-02-01,4.7,.,.
1949-03-01,5.0,.,.
1949-04-01,5.3,.,.
1949-05-01,6.1,.,.
1949-06-01,6.2,.,.
1949-07-01,6.7,.,.
1949-08-01,6.8,.,.
1949-09-01,6.6,.,.
1949-10-01,7.9,.,.
1949-11-01,6.4,.,.
1949-12-01,6.6,.,.
1950-01-01,6.5,.,.
1950-02-01,6.4,.,.
1950-03-01,6.3,.,.
1950-04-01,5.8,.,.
1950-05-01,5.5,.,.
1950-06-01,5.4,.,.
1950-07-01,5.0,.,.
1950-08-01,4.5,.,.
1950-09-01,4.4,.,.
1950-10-01,4.2,.,.
1950-11-01,4.2,.,.
1950-12-01,4.3,.,.
1951-01-01,3.7,.,.
1951-02-01,3.4,.,.
1951-03-01,3.4,.,.
1951-04-01,3.1,.,.
1951-05-01,3.0,.,.
1951-06-01,3.2,.,.
1951-07-01,3.1,.,.
1951-08-01,3.1,.,.
1951-09-01,3.3,.,.
1951-10-01,3.5,.,.
1951-11-01,3.5,.,.
1951-12-01,3.1,.,.
1952-01-01,3.2,.,.
1952-02-01,3.1,.,.
1952-03-01,2.9,.,.
1952-04-01,2.9,.,.
1952-05-01,3.0,.,.
1952-06-01,3.0,.,.
1952-07-01,3.2,.,.
1952-08-01,3.4,.,.
1952-09-01,3.1,.,.
1952-10-01,3.0,.,.
1952-11-01,2.8,.,.
1952-12-01,2.7,.,.
1953-01-01,2.9,.,.
1953-02-01,2.6,.,.
1953-03-01,2.6,.,.
1953-04-01,2.7,.,.
1953-05-01,2.5,.,.
1953-06-01,2.5,.,.
1953-07-01,2.6,.,.
1953-08-01,2.7,.,.
1953-09-01,2.9,.,.
1953-10-01,3.1,.,.
1953-11-01,3.5,.,.
1953-12-01,4.5,.,.
1954-01-01,4.9,.,.
1954-02-01,5.2,.,.
1954-03-01,5.7,.,.
1954-04-01,5.9,.,.
1954-05-01,5.9,.,.
1954-06-01,5.6,.,.
1954-07-01,5.8,0.80,.
1954-08-01,6.0,1.22,.
1954-09-01,6.1,1.07,.
1954-10-01,5.7,0.85,.
1954-11-01,5.3,0.83,.
1954-12-01,5.0,1.28,.
1955-01-01,4.9,1.39,.
1955-02-01,4.7,1.29,.
1955-03-01,4.6,1.35,.
1955-04-01,4.7,1.43,.
1955-05-01,4.3,1.43,.
1955-06-01,4.2,1.64,.
1955-07-01,4.0,1.68,.
1955-08-01,4.2,1.96,.
1955-09-01,4.1,2.18,.
1955-10-01,4.3,2.24,.
1955-11-01,4.2,2.35,.
1955-12-01,4.2,2.48,.
1956-01-01,4.0,2.45,.
1956-02-01,3.9,2.50,.
1956-03-01,4.2,2.50,.
1956-04-01,4.0,2.62,.
1956-05-01,4.3,2.75,.
1956-06-01,4.3,2.71,.
1956-07-01,4.4,2.75,.
1956-08-01,4.1,2.73,.
1956-09-01,3.9,2.95,.
1956-10-01,3.9,2.96,.
1956-11-01,4.3,2.88,.
1956-12-01,4.2,2.94,.
1957-01-01,4.2,2.84,.
1957-02-01,3.9,3.00,.
1957-03-01,3.7,2.96,.
1957-04-01,3.9,3.00,.
1957-05-01,4.1,3.00,.
1957-06-01,4.3,3.00,.
1957-07-01,4.2,2.99,.
1957-08-01,4.1,3.24,.
1957-09-01,4.4,3.47,.
1957-10-01,4.5,3.50,.
1957-11-01,5.1,3.28,.
1957-12-01,5.2,2.98,.
1958-01-01,5.8,2.72,.
1958-02-01,6.4,1.67,.
1958-03-01,6.7,1.20,.
1958-04-01,7.4,1.26,.
1958-05-01,7.4,0.63,.
1958-06-01,7.3,0.93,.
1958-07-01,7.5,0.68,.
1958-08-01,7.4,1.53,.
1958-09-01,7.1,1.76,.
1958-10-01,6.7,1.80,.
1958-11-01,6.2,2.27,.
1958-12-01,6.2,2.42,.
1959-01-01,6.0,2.48,.
1959-02-01,5.9,2.43,.
1959-03-01,5.6,2.80,.
1959-04-01,5.2,2.96,.
1959-05-01,5.1,2.90,.
1959-06-01,5.0,3.39,.
1959-07-01,5.1,3.47,.
1959-08-01,5.2,3.50,.
1959-09-01,5.5,3.76,.
1959-10-01,5.7,3.98,.
1959-11-01,5.8,4.00,.
1959-12-01,5.3,3.99,.
1960-01-01,5.2,3.99,.
1960-02-01,4.8,3.97,.
1960-03-01,5.4,3.84,.
1960-04-01,5.2,3.92,.
1960-05-01,5.1,3.85,.
1960-06-01,5.4,3.32,.
1960-07-01,5.5,3.23,.
1960-08-01,5.6,2.98,.
1960-09-01,5.5,2.60,.
1960-10-01,6.1,2.47,.
1960-11-01,6.1,2.44,.
1960-12-01,6.6,1.98,.
1961-01-01,6.6,1.45,.
1961-02-01,6.9,2.54,.
1961-03-01,6.9,2.02,.
1961-04-01,7.0,1.49,.
1961-05-01,7.1,1.98,.
1961-06-01,6.9,1.73,.
1961-07-01,7.0,1.17,.
1961-08-01,6.6,2.00,.
1961-09-01,6.7,1.88,.
1961-10-01,6.5,2.26,.
1961-11-01,6.1,2.61,.
1961-12-01,6.0,2.33,.
1962-01-01,5.8,2.15,4.0831818181818182
1962-02-01,5.5,2.37,4.0394444444444444
1962-03-01,5.6,2.85,3.9304545454545455
1962-04-01,5.6,2.78,3.8430000000000000
1962-05-01,5.5,2.36,3.8736363636363636
1962-06-01,5.5,2.68,3.9090476190476190
1962-07-01,5.4,2.71,4.0142857142857143
1962-08-01,5.7,2.93,3.9756521739130435
1962-09-01,5.6,2.90,3.9789473684210526
1962-10-01,5.4,2.90,3.9254545454545455
1962-11-01,5.7,2.94,3.9157894736842105
1962-12-01,5.5,2.93,3.8645000000000000
1963-01-01,5.7,2.92,3.8336363636363636
1963-02-01,5.9,3.00,3.9211111111111111
1963-03-01,5.7,2.98,3.9285714285714286
1963-04-01,5.7,2.90,3.9709523809523810
1963-05-01,5.9,3.00,3.9300000000000000
1963-06-01,5.6,2.99,3.9930000000000000
1963-07-01,5.6,3.02,4.0204545454545455
1963-08-01,5.4,3.49,4.0022727272727273
1963-09-01,5.5,3.48,4.0775000000000000
1963-10-01,5.5,3.50,4.1060869565217391
1963-11-01,5.7,3.48,4.1217647058823529
1963-12-01,5.5,3.38,4.1285714285714286
1964-01-01,5.6,3.48,4.1668181818181818
1964-02-01,5.4,3.48,4.1455555555555556
1964-03-01,5.4,3.43,4.2195238095238095
1964-04-01,5.3,3.47,4.2322727272727273
1964-05-01,5.1,3.50,4.2000000000000000
1964-06-01,5.2,3.50,4.1700000000000000
1964-07-01,4.9,3.42,4.1859090909090909
1964-08-01,5.0,3.50,4.1938095238095238
1964-09-01,5.1,3.45,4.2038095238095238
1964-10-01,5.1,3.36,4.1880952380952381
1964-11-01,4.8,3.52,4.1527777777777778
1964-12-01,5.0,3.85,4.1795454545454545
1965-01-01,4.9,3.90,4.1895000000000000
1965-02-01,5.1,3.98,4.2111111111111111
1965-03-01,4.7,4.05,4.2104347826086957
1965-04-01,4.8,4.09,4.2038095238095238
1965-05-01,4.6,4.10,4.2115000000000000
1965-06-01,4.6,4.05,4.2131818181818182
1965-07-01,4.4,4.09,4.2047619047619048
1965-08-01,4.4,4.12,4.2522727272727273
1965-09-01,4.3,4.02,4.2904761904761905
1965-10-01,4.2,4.08,4.3495000000000000
1965-11-01,4.1,4.10,4.4489473684210526
1965-12-01,4.0,4.32,4.6154545454545455
1966-01-01,4.0,4.42,4.6123809523809524
1966-02-01,3.8,4.60,4.8321052631578947
1966-03-01,3.8,4.66,4.8734782608695652
1966-04-01,3.8,4.67,4.7500000000000000
1966-05-01,3.9,4.90,4.7785714285714286
1966-06-01,3.8,5.17,4.8145454545454545
1966-07-01,3.8,5.30,5.0180000000000000
1966-08-01,3.8,5.53,5.2243478260869565
1966-09-01,3.7,5.40,5.1823809523809524
1966-10-01,3.7,5.53,5.0115000000000000
1966-11-01,3.6,5.76,5.1552631578947368
1966-12-01,3.8,5.40,4.8428571428571429
1967-01-01,3.9,4.94,4.5790476190476190
1967-02-01,3.8,5.00,4.6266666666666667
1967-03-01,3.8,4.53,4.5418181818181818
1967-04-01,3.8,4.05,4.5935000000000000
1967-05-01,3.8,3.94,4.8477272727272727
1967-06-01,3.9,3.98,5.0227272727272727
1967-07-01,3.8,3.79,5.1590000000000000
1967-08-01,3.8,3.90,5.2756521739130435
1967-09-01,3.8,3.99,5.3020000000000000
1967-10-01,4.0,3.88,5.4809523809523810
1967-11-01,3.9,4.13,5.7535000000000000
1967-12-01,3.8,4.51,5.6990000000000000
1968-01-01,3.7,4.61,5.5286363636363636
1968-02-01,3.8,4.71,5.5636842105263158
1968-03-01,3.7,5.05,5.7400000000000000
1968-04-01,3.5,5.76,5.6385000000000000
1968-05-01,3.5,6.12,5.8695454545454545
1968-06-01,3.7,6.07,5.7180000000000000
1968-07-01,3.7,6.03,5.4954545454545455
1968-08-01,3.5,6.03,5.4204545454545455
1968-09-01,3.4,5.78,5.4600000000000000
1968-10-01,3.4,5.91,5.5826086956521739
1968-11-01,3.4,5.82,5.6961111111111111
1968-12-01,3.4,6.02,6.0319047619047619
1969-01-01,3.4,6.30,6.0418181818181818
1969-02-01,3.4,6.61,6.1889473684210526
1969-03-01,3.4,6.79,6.2960000000000000
1969-04-01,3.4,7.41,6.1733333333333333
1969-05-01,3.4,8.67,6.3233333333333333
1969-06-01,3.5,8.90,6.5742857142857143
1969-07-01,3.5,8.61,6.7195238095238095
1969-08-01,3.5,9.19,6.6914285714285714
1969-09-01,3.7,9.15,7.1595238095238095
1969-10-01,3.7,9.00,7.0954545454545455
1969-11-01,3.5,8.85,7.1441176470588235
1969-12-01,3.5,8.97,7.6540909090909091
1970-01-01,3.9,8.98,7.7947619047619048
1970-02-01,4.2,8.98,7.2383333333333333
1970-03-01,4.4,7.76,7.0728571428571429
1970-04-01,4.6,8.10,7.3909090909090909
1970-05-01,4.8,7.95,7.9061904761904762
1970-06-01,4.9,7.61,7.8418181818181818
1970-07-01,5.0,7.21,7.4572727272727273
1970-08-01,5.1,6.62,7.5271428571428571
1970-09-01,5.4,6.29,7.3895238095238095
1970-10-01,5.5,6.20,7.3266666666666667
1970-11-01,5.9,5.60,6.8411111111111111
1970-12-01,6.1,4.90,6.3913636363636364
1971-01-01,5.9,4.14,6.2385000000000000
1971-02-01,5.9,3.72,6.1122222222222222
1971-03-01,6.0,3.71,5.7034782608695652
1971-04-01,5.9,4.16,5.8338095238095238
1971-05-01,5.9,4.63,6.3925000000000000
1971-06-01,5.9,4.91,6.5222727272727273
1971-07-01,6.0,5.31,6.7295238095238095
1971-08-01,6.1,5.57,6.5827272727272727
1971-09-01,6.0,5.55,6.1395238095238095
1971-10-01,5.8,5.20,5.9257894736842105
1971-11-01,6.0,4.91,5.8100000000000000
1971-12-01,6.0,4.14,5.9263636363636364
1972-01-01,5.8,3.51,5.9476190476190476
1972-02-01,5.7,3.30,6.0810000000000000
1972-03-01,5.8,3.83,6.0686363636363636
1972-04-01,5.7,4.17,6.1945000000000000
1972-05-01,5.7,4.27,6.1263636363636364
1972-06-01,5.7,4.46,6.1068181818181818
1972-07-01,5.6,4.55,6.1130000000000000
1972-08-01,5.6,4.81,6.2104347826086957
1972-09-01,5.5,4.87,6.5495000000000000
1972-10-01,5.6,5.05,6.4795000000000000
1972-11-01,5.3,5.06,6.2805000000000000
1972-12-01,5.2,5.33,6.3585000000000000
