DATE,GDP_PCH,CPIAUCSL_PCH
1947-04-01,1.15313,1.42857
1947-07-01,1.47052,2.18083
1947-10-01,4.07076,2.83089
1948-01-01,2.30880,2.11877
1948-04-01,2.56828,1.59492
1948-07-01,2.43206,1.68102
1948-10-01,0.41906,-0.91543
1949-01-01,-1.90180,-0.95146
1949-04-01,-1.33911,-0.11137
1949-07-01,0.56679,-0.83624
1949-10-01,-0.82891,-0.23893
1950-01-01,3.76939,-0.30995
1950-04-01,3.40244,0.76314
1950-07-01,6.11950,1.83731
1950-10-01,3.82667,2.02451
1951-01-01,5.01805,4.06317
1951-04-01,2.40774,0.97289
1951-07-01,2.12008,-0.05139
1951-10-01,1.36403,1.47815
1952-01-01,1.02252,0.37999
1952-04-01,0.33628,0.26498
1952-07-01,1.84777,0.67959
1952-10-01,3.56567,0.11250
1953-01-01,1.88229,-0.28718
1953-04-01,0.97144,0.37566
1953-07-01,-0.14754,0.46158
1953-10-01,-1.32960,0.17385
1954-01-01,-0.16193,0.23553
1954-04-01,0.20138,-0.16077
1954-07-01,1.26256,-0.26013
1954-10-01,2.23481,-0.31048
1955-01-01,3.33697,0.13704
1955-04-01,2.04782,-0.13685
1955-07-01,2.06129,0.07475
1955-10-01,1.59709,0.29877
1956-01-01,0.60719,0.01241
1956-04-01,1.42446,0.65773
1956-07-01,1.16163,1.03563
1956-10-01,2.05501,0.85418
1957-01-01,2.02318,0.82275
1957-04-01,0.47810,0.85203
1957-07-01,1.58148,0.89243
1957-10-01,-0.96478,0.48355
1958-01-01,-1.54234,1.18545
1958-04-01,0.94922,0.67278
1958-07-01,2.93721,-0.05761
1958-10-01,2.82273,0.10376
1959-01-01,2.15692,0.17275
1959-04-01,2.41471,0.17245
1959-07-01,0.45556,0.51647
1959-10-01,0.67919,0.60516
1960-01-01,2.65759,0.09080
1960-04-01,-0.28895,0.60098
1960-07-01,0.83611,0.05636
1960-10-01,-0.99101,0.64211
1961-01-01,0.89245,0.20148
1961-04-01,1.93150,-0.03351
1961-07-01,2.18146,0.39111
1961-10-01,2.28093,0.14470
1962-01-01,2.30808,0.38902
1962-04-01,1.06951,0.37644
1962-07-01,1.44262,0.28679
1962-10-01,0.53413,0.24197
1963-01-01,1.53394,0.31819
1963-04-01,1.29972,0.18593
1963-07-01,2.33298,0.61135
1963-10-01,1.47321,0.27127
1964-01-01,2.42898,0.41121
1964-04-01,1.32155,0.16166
1964-07-01,1.96810,0.22595
1964-10-01,0.76413,0.46162
1965-01-01,2.93567,0.30990
1965-04-01,1.72766,0.63918
1965-07-01,2.62014,0.29639
1965-10-01,3.00725,0.52770
1966-01-01,3.09345,0.93438
1966-04-01,1.16207,0.90493
1966-07-01,1.82079,0.86589
1966-10-01,1.66708,0.81758
1967-01-01,1.30421,0.25342
1967-04-01,0.57015,0.60667
1967-07-01,1.91405,1.00503
1967-10-01,1.87302,1.09453
1968-01-01,3.17072,0.98425
1968-04-01,2.74438,0.97466
1968-07-01,1.76391,1.35135
1968-10-01,1.80948,1.23810
